品牌,型号,名称,分组,后置原因,类型,处理建议
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,EXBOX.MD冗余电源,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,CLASSIC系列电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,Server D100系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,四通道4K专业版媒体服务器-加强版机箱,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,双通道4k超级版媒体服务器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,双通道4k超级版媒体服务器-加强版机箱,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,该平台依赖于Kinetic Designer，这是一个功能强大的用户界面，带有一个专用工作站，连接到一个或多个VNode媒体服务器。（KINETIC项目必选）,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,全媒体服务器-管理核心-加强版机箱,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,全媒体服务器四通道4K渲染终端,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,全媒体服务器四通道4K渲染终端-加强版机箱,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PS-8RE III,带时序功能的电源调节器,电源时序器/调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,电源转换线1.8m*m2,电源转换线,电源线,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Lyntec,PDS-10,时序电源控制器,周边设备,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
YAMAHA,Rio1608-D3,扩展接口箱,RIVAGE PM系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
YAMAHA,Rio3224-D3,扩展接口箱,RIVAGE PM系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ezCloud,V3.0,智慧会议集中控制管理系统,服务端（一个项目一般配一组，如A组、B组）,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ezacoustics,TS电源分配器,巡演2U机柜电源分配器,巡演系列功放机柜及辅材,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,dLive C1500,数字调音台界面,dLive系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,dLive C2500,数字调音台界面,dLive系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,dLive C3500,数字调音台界面,dLive系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,dLive CTi1500,数字调音台界面,dLive系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,dLive S3000,数字调音台界面,dLive系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,dLive S5000,数字调音台界面,dLive系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,dLive S7000,数字调音台界面,dLive系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CF6200MS,会议系统管理软件,模拟会讨系统（数字控制-模拟传输）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CF6200MS,会议系统管理软件,模拟会讨系统（停产-销库存）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CF6800,全数字会议主机,数字会讨系统（数字控制-数字传输）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CF6800L,全数字会议主机,数字会讨系统（数字控制-数字传输）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CF6800MS V1,会议系统管理软件,数字会讨系统（数字控制-数字传输）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CS B-REL0820,8路大电流继电器,CS传感器产品系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CTS-1050NWP,10.1寸桌面控制触摸屏,CTS智慧屏产品系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DIO 4x4,Dante接口盒,音频接口盒,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DP100A,智慧物联网关,DP控制器产品系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DP100B,智慧物联网关,DP控制器产品系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX120-pad-license-v2,可视化控制软件,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130-CMS100,可视化运维管理平台,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130-CMS300,可视化运维管理平台,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130-CMS500,可视化运维管理平台,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130-pad-Android,可视化管控平台（Android）,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130-pad-PC,可视化管控平台（PC）,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130D-4K,H.264/H.265解码器,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130D-4K-KW,H.264解码器（4K）,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130D-HD-KW,H.264解码器,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130E-4K,H.264/H.265编码器,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130E-4K-KW,H.264编码器（4K）,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX130E-HD-KW,H.264编码器,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX200D-4K-KVM,JPEG2000解码器,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX200E-4K-KVM,JPEG2000编码器,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,LBR-CP3,网络控制面板,音频处理器,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,MS200,智能语音转写一体机,MS服务主机产品系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,RCI-3B,Aries 控制面板（黑色）,音频处理器,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,RCI-3W,Aries 控制面板（白色）,音频处理器,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM-TM01,VCM摄像机-天花吊装支架,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM-TM02,VCM摄像机-墙壁安装架,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM-WM01,VCM摄像机-墙壁安装架,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM-WM02,VCM摄像机-墙壁安装架,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM-WM03,VCM摄像机-墙壁安装架,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM101-HD10X,高清会议摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM102-HD20X,高清会议摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM120C-4K20X,4K云台摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM120D-HD40X,40X云台摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM121N-HD20X,双输出SDI+IP云台摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM200-HD12X,高清会议摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM200-HD20X,高清会议摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM300-4K12X,4K12XAI追踪云台摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,VCM300-4K30X,4K30XAI追踪云台摄像机,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,WP210 USB,USB收发器,MT融合会议产品系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,WV200DA,专用表决软件,其他会议系统（前级）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,XP100-1010,高清混合矩阵,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,XP100-1616,高清混合矩阵,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,XP100-3636,高清混合矩阵,视频产品,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Nureva,CM-HDL200,HDL200摄像头支架,,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Nureva,CV30 kit,Nureva摄像机套装,,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,ARC-3,外部控制器,网络型墙面控制器,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Solus NX 16x8,数字音频处理器,Solus NX系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Solus NX 4x4,数字音频处理器,Solus NX系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Solus NX 8x8,数字音频处理器,Solus NX系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,xControl,数字音频处理器,输入输出扩展卡,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea CI G3,无线主席\同传单元,Confidea无线会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea CIV G3,无线全功能主席单元,Confidea无线会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea DI G3,无线代表\同传单元,Confidea无线会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea T-CI,主席\译员单元,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea T-CIV,全功能主席\译员单元,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea T-CV,主席讨论单元,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea T-DI,代表\译员单元,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea T-DIV,全功能代表\译员单元,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,Confidea T-DV,代表讨论单元,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,T-CAM Camera(报关型号为VC-302),IP摄像机套件,T-Cam摄像头跟踪系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,T-CAM Package,摄像头跟踪系统,T-Cam摄像头跟踪系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,uniCOS F/MM10,多媒体嵌入式代表/主席单元-10寸,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,uniCOS F/MM7,多媒体嵌入式代表/主席单元-7寸,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,uniCOS T/MM10,多媒体桌面代表/主席单元-10寸,Plixus多媒体会议系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,D4100,音视频解码器（盒式）,4 SERIES and Duet-2（原有产品）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,D4200,音视频解码器（盒式）,4 SERIES and Duet-2（原有产品）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,D5000,音视频解码器（盒式）,5 SERIES and Duet-5,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,D5100,音视频解码器（盒式）,5 SERIES and Duet-5,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,D5200,音视频解码器（盒式）,5 SERIES and Duet-5,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,DuetD-2,音视频解码器（盒式）,4 SERIES and Duet-2（原有产品）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,DuetD-5,音视频解码器（盒式）,5 SERIES and Duet-5,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,DuetE-2,音视频编码器（盒式）,4 SERIES and Duet-2（原有产品）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,DuetE-5,音视频编码器（盒式）,5 SERIES and Duet-5,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,E4100,音视频编码器（盒式）,4 SERIES and Duet-2（原有产品）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,E4200,音视频编码器（盒式）,4 SERIES and Duet-2（原有产品）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,E5100,音视频编码器（盒式）,5 SERIES and Duet-5,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Visionary,E5200,音视频编码器（盒式）,5 SERIES and Duet-5,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
WolfVision,Cynap Core,演示与协作系统,演示与协作系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
WolfVision,Cynap Core Pro,演示与协作系统,演示与协作系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
WolfVision,Cynap Pure,演示与协作系统,演示与协作系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
WolfVision,Cynap Pure Mini,演示与协作系统,演示与协作系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
WolfVision,Cynap Pure Pro,演示与协作系统,演示与协作系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
WolfVision,Cynap – Version A (HDMI),演示与协作系统,演示与协作系统,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ezCloud,V1.0,专业扩声系统智能总控平台,服务端（一个项目一般配一组，如A组、B组）,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
软件,V3.0,智能物联控制系统,DP控制器产品系列,视频(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,ELC-RMKIT,机架安装套件,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-BEACON,灯光提示器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-BPX-4M,有线腰包,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-BRIDGEX,内通桥接器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-DANTEX,DANTE信号转换器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-GNM300,鹅颈话筒,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-GNM430,鹅颈话筒,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-HS200D,內通双耳机,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-HS200S,內通单耳机,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-HSA05,手握式话筒,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-INTERFACEX,2线+4线内通转换器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-MCX,机架基站,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-MCXD,桌面基站,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-MCXDEXT,桌面基站扩展,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-MCXEXT,机架基站扩展,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-PSU12V,电源,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-Q4WR,4通道4线内通转换器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-RDX,对讲机转换器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
